time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-13 00:00:00+00:00,1,1,0,0
2025-08-15 00:00:00+00:00,0,0,1,1
2025-08-16 00:00:00+00:00,1,1,1,1
2025-08-18 00:00:00+00:00,8,8,10,3
2025-08-19 00:00:00+00:00,32,16,21,1
2025-08-20 00:00:00+00:00,15,12,28,1
2025-08-21 00:00:00+00:00,3,3,1,1
2025-08-22 00:00:00+00:00,1,1,5,1
2025-08-23 00:00:00+00:00,1,1,0,0
2025-08-24 00:00:00+00:00,5,5,0,0
2025-08-25 00:00:00+00:00,5,5,5,1
2025-08-26 00:00:00+00:00,3,3,11,1
2025-08-27 00:00:00+00:00,2,2,0,0
2025-08-28 00:00:00+00:00,4,4,0,0
2025-08-29 00:00:00+00:00,17,11,73,1
2025-08-30 00:00:00+00:00,6,5,2,1
2025-08-31 00:00:00+00:00,6,6,0,0
2025-09-01 00:00:00+00:00,2,2,7,2
2025-09-02 00:00:00+00:00,5,5,0,0
2025-09-03 00:00:00+00:00,2,2,0,0
2025-09-04 00:00:00+00:00,1,1,0,0
2025-09-05 00:00:00+00:00,4,4,0,0
2025-09-06 00:00:00+00:00,5,5,0,0
2025-09-07 00:00:00+00:00,1,1,0,0
2025-09-08 00:00:00+00:00,2,2,0,0
2025-09-09 00:00:00+00:00,4,4,5,1
2025-09-10 00:00:00+00:00,1,1,0,0
2025-09-11 00:00:00+00:00,4,4,0,0
2025-09-12 00:00:00+00:00,6,5,0,0
2025-09-13 00:00:00+00:00,6,6,0,0
2025-09-14 00:00:00+00:00,1,1,0,0
2025-09-15 00:00:00+00:00,1,1,5,1
2025-09-16 00:00:00+00:00,10,6,5,2
2025-09-17 00:00:00+00:00,2,2,0,0
2025-09-18 00:00:00+00:00,1,1,0,0
2025-09-19 00:00:00+00:00,1,1,4,1
2025-09-20 00:00:00+00:00,1,1,0,0
2025-09-21 00:00:00+00:00,1,1,0,0
2025-09-22 00:00:00+00:00,1,1,0,0
2025-09-23 00:00:00+00:00,1,1,0,0
2025-09-25 00:00:00+00:00,1,1,0,0
2025-09-26 00:00:00+00:00,1,1,0,0
2025-09-27 00:00:00+00:00,1,1,0,0
2025-09-28 00:00:00+00:00,1,1,0,0
2025-09-29 00:00:00+00:00,1,1,0,0
2025-09-30 00:00:00+00:00,1,1,0,0
2025-10-01 00:00:00+00:00,1,1,0,0
2025-10-02 00:00:00+00:00,1,1,0,0
2025-10-03 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,0,0
2025-10-05 00:00:00+00:00,1,1,0,0
2025-10-06 00:00:00+00:00,1,1,0,0
2025-10-07 00:00:00+00:00,1,1,0,0
2025-10-08 00:00:00+00:00,1,1,0,0
2025-10-09 00:00:00+00:00,1,1,0,0
2025-10-10 00:00:00+00:00,1,1,0,0
2025-10-11 00:00:00+00:00,1,1,0,0
2025-10-12 00:00:00+00:00,1,1,0,0
2025-10-13 00:00:00+00:00,1,1,0,0
2025-10-14 00:00:00+00:00,1,1,0,0
2025-10-15 00:00:00+00:00,1,1,0,0
2025-10-16 00:00:00+00:00,1,1,0,0
2025-10-17 00:00:00+00:00,1,1,0,0
2025-10-18 00:00:00+00:00,1,1,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-20 00:00:00+00:00,1,1,0,0
2025-10-21 00:00:00+00:00,1,1,0,0
2025-10-22 00:00:00+00:00,1,1,0,0
2025-10-23 00:00:00+00:00,1,1,0,0
2025-10-24 00:00:00+00:00,1,1,0,0
2025-10-25 00:00:00+00:00,1,1,0,0
2025-10-26 00:00:00+00:00,1,1,0,0
2025-10-27 00:00:00+00:00,1,1,0,0
2025-10-28 00:00:00+00:00,1,1,0,0
2025-10-29 00:00:00+00:00,1,1,0,0
2025-10-30 00:00:00+00:00,1,1,0,0
2025-10-31 00:00:00+00:00,1,1,0,0
2025-11-01 00:00:00+00:00,1,1,0,0
2025-11-02 00:00:00+00:00,1,1,0,0
2025-11-03 00:00:00+00:00,1,1,0,0
2025-11-04 00:00:00+00:00,1,1,0,0
2025-11-05 00:00:00+00:00,1,1,0,0
2025-11-06 00:00:00+00:00,1,1,0,0
2025-11-07 00:00:00+00:00,1,1,0,0
2025-11-08 00:00:00+00:00,1,1,0,0
2025-11-09 00:00:00+00:00,1,1,0,0
2025-11-10 00:00:00+00:00,1,1,0,0
2025-11-11 00:00:00+00:00,1,1,0,0
2025-11-12 00:00:00+00:00,1,1,0,0
2025-11-13 00:00:00+00:00,1,1,0,0
2025-11-14 00:00:00+00:00,1,1,7,1
